category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,direction,num_layers,hidden_dim,path
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_welfare__individual_liberty/base_to_pos.npy
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_welfare__individual_liberty/neg_to_pos.npy
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_welfare__individual_liberty/pos_to_neg.npy
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__competition_policy__cooperation_policy/base_to_neg.npy
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__competition_policy__cooperation_policy/base_to_pos.npy
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__competition_policy__cooperation_policy/neg_to_pos.npy
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__competition_policy__cooperation_policy/pos_to_neg.npy
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__consumer_protection__corporate_freedom/base_to_neg.npy
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__consumer_protection__corporate_freedom/base_to_pos.npy
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__consumer_protection__corporate_freedom/neg_to_pos.npy
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__consumer_protection__corporate_freedom/pos_to_neg.npy
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__data_protection_priority__data_utilization_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__data_protection_priority__data_utilization_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__data_protection_priority__data_utilization_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__data_protection_priority__data_utilization_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__economic_growth_priority__sustainability_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__economic_growth_priority__sustainability_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__economic_growth_priority__sustainability_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__economic_growth_priority__sustainability_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__energy_transition__fossil_energy_support/base_to_neg.npy
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__energy_transition__fossil_energy_support/base_to_pos.npy
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__energy_transition__fossil_energy_support/neg_to_pos.npy
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__energy_transition__fossil_energy_support/pos_to_neg.npy
ideology,IDEOLOGY,ideology__environmental_protection__economic_growth,environmental-protection vs economic-growth,environmental-protection,economic-growth,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__environmental_protection__economic_growth/base_to_neg.npy
ideology,IDEOLOGY,ideology__environmental_protection__economic_growth,environmental-protection vs economic-growth,environmental-protection,economic-growth,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__environmental_protection__economic_growth/base_to_pos.npy
ideology,IDEOLOGY,ideology__environmental_protection__economic_growth,environmental-protection vs economic-growth,environmental-protection,economic-growth,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__environmental_protection__economic_growth/neg_to_pos.npy
ideology,IDEOLOGY,ideology__environmental_protection__economic_growth,environmental-protection vs economic-growth,environmental-protection,economic-growth,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__environmental_protection__economic_growth/pos_to_neg.npy
ideology,IDEOLOGY,ideology__equality_priority__merit_priority,equality-priority vs merit-priority,equality-priority,merit-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equality_priority__merit_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__equality_priority__merit_priority,equality-priority vs merit-priority,equality-priority,merit-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equality_priority__merit_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__equality_priority__merit_priority,equality-priority vs merit-priority,equality-priority,merit-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equality_priority__merit_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__equality_priority__merit_priority,equality-priority vs merit-priority,equality-priority,merit-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equality_priority__merit_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__equity_priority__efficiency_priority,equity-priority vs efficiency-priority,equity-priority,efficiency-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equity_priority__efficiency_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__equity_priority__efficiency_priority,equity-priority vs efficiency-priority,equity-priority,efficiency-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equity_priority__efficiency_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__equity_priority__efficiency_priority,equity-priority vs efficiency-priority,equity-priority,efficiency-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equity_priority__efficiency_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__equity_priority__efficiency_priority,equity-priority vs efficiency-priority,equity-priority,efficiency-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__equity_priority__efficiency_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__global_cooperation__national_self_reliance,global-cooperation vs national-self-reliance,global-cooperation,national-self-reliance,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__global_cooperation__national_self_reliance/base_to_neg.npy
ideology,IDEOLOGY,ideology__global_cooperation__national_self_reliance,global-cooperation vs national-self-reliance,global-cooperation,national-self-reliance,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__global_cooperation__national_self_reliance/base_to_pos.npy
ideology,IDEOLOGY,ideology__global_cooperation__national_self_reliance,global-cooperation vs national-self-reliance,global-cooperation,national-self-reliance,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__global_cooperation__national_self_reliance/neg_to_pos.npy
ideology,IDEOLOGY,ideology__global_cooperation__national_self_reliance,global-cooperation vs national-self-reliance,global-cooperation,national-self-reliance,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__global_cooperation__national_self_reliance/pos_to_neg.npy
ideology,IDEOLOGY,ideology__government_intervention__free_market,government-intervention vs free-market,government-intervention,free-market,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__government_intervention__free_market/base_to_neg.npy
ideology,IDEOLOGY,ideology__government_intervention__free_market,government-intervention vs free-market,government-intervention,free-market,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__government_intervention__free_market/base_to_pos.npy
ideology,IDEOLOGY,ideology__government_intervention__free_market,government-intervention vs free-market,government-intervention,free-market,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__government_intervention__free_market/neg_to_pos.npy
ideology,IDEOLOGY,ideology__government_intervention__free_market,government-intervention vs free-market,government-intervention,free-market,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__government_intervention__free_market/pos_to_neg.npy
ideology,IDEOLOGY,ideology__hierarchy_support__egalitarianism_support,hierarchy-support vs egalitarianism-support,hierarchy-support,egalitarianism-support,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__hierarchy_support__egalitarianism_support/base_to_neg.npy
ideology,IDEOLOGY,ideology__hierarchy_support__egalitarianism_support,hierarchy-support vs egalitarianism-support,hierarchy-support,egalitarianism-support,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__hierarchy_support__egalitarianism_support/base_to_pos.npy
ideology,IDEOLOGY,ideology__hierarchy_support__egalitarianism_support,hierarchy-support vs egalitarianism-support,hierarchy-support,egalitarianism-support,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__hierarchy_support__egalitarianism_support/neg_to_pos.npy
ideology,IDEOLOGY,ideology__hierarchy_support__egalitarianism_support,hierarchy-support vs egalitarianism-support,hierarchy-support,egalitarianism-support,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__hierarchy_support__egalitarianism_support/pos_to_neg.npy
ideology,IDEOLOGY,ideology__human_rights_priority__sovereignty_priority,human-rights-priority vs sovereignty-priority,human-rights-priority,sovereignty-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__human_rights_priority__sovereignty_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__human_rights_priority__sovereignty_priority,human-rights-priority vs sovereignty-priority,human-rights-priority,sovereignty-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__human_rights_priority__sovereignty_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__human_rights_priority__sovereignty_priority,human-rights-priority vs sovereignty-priority,human-rights-priority,sovereignty-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__human_rights_priority__sovereignty_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__human_rights_priority__sovereignty_priority,human-rights-priority vs sovereignty-priority,human-rights-priority,sovereignty-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__human_rights_priority__sovereignty_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__inclusive_policy__selective_policy,inclusive-policy vs selective-policy,inclusive-policy,selective-policy,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__inclusive_policy__selective_policy/base_to_neg.npy
ideology,IDEOLOGY,ideology__inclusive_policy__selective_policy,inclusive-policy vs selective-policy,inclusive-policy,selective-policy,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__inclusive_policy__selective_policy/base_to_pos.npy
ideology,IDEOLOGY,ideology__inclusive_policy__selective_policy,inclusive-policy vs selective-policy,inclusive-policy,selective-policy,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__inclusive_policy__selective_policy/neg_to_pos.npy
ideology,IDEOLOGY,ideology__inclusive_policy__selective_policy,inclusive-policy vs selective-policy,inclusive-policy,selective-policy,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__inclusive_policy__selective_policy/pos_to_neg.npy
ideology,IDEOLOGY,ideology__industrial_policy__market_coordination,industrial-policy vs market-coordination,industrial-policy,market-coordination,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__industrial_policy__market_coordination/base_to_neg.npy
ideology,IDEOLOGY,ideology__industrial_policy__market_coordination,industrial-policy vs market-coordination,industrial-policy,market-coordination,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__industrial_policy__market_coordination/base_to_pos.npy
ideology,IDEOLOGY,ideology__industrial_policy__market_coordination,industrial-policy vs market-coordination,industrial-policy,market-coordination,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__industrial_policy__market_coordination/neg_to_pos.npy
ideology,IDEOLOGY,ideology__industrial_policy__market_coordination,industrial-policy vs market-coordination,industrial-policy,market-coordination,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__industrial_policy__market_coordination/pos_to_neg.npy
ideology,IDEOLOGY,ideology__institution_trust__institution_skepticism,institution-trust vs institution-skepticism,institution-trust,institution-skepticism,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institution_trust__institution_skepticism/base_to_neg.npy
ideology,IDEOLOGY,ideology__institution_trust__institution_skepticism,institution-trust vs institution-skepticism,institution-trust,institution-skepticism,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institution_trust__institution_skepticism/base_to_pos.npy
ideology,IDEOLOGY,ideology__institution_trust__institution_skepticism,institution-trust vs institution-skepticism,institution-trust,institution-skepticism,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institution_trust__institution_skepticism/neg_to_pos.npy
ideology,IDEOLOGY,ideology__institution_trust__institution_skepticism,institution-trust vs institution-skepticism,institution-trust,institution-skepticism,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institution_trust__institution_skepticism/pos_to_neg.npy
ideology,IDEOLOGY,ideology__institutional_solutions__market_solutions,institutional-solutions vs market-solutions,institutional-solutions,market-solutions,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institutional_solutions__market_solutions/base_to_neg.npy
ideology,IDEOLOGY,ideology__institutional_solutions__market_solutions,institutional-solutions vs market-solutions,institutional-solutions,market-solutions,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institutional_solutions__market_solutions/base_to_pos.npy
ideology,IDEOLOGY,ideology__institutional_solutions__market_solutions,institutional-solutions vs market-solutions,institutional-solutions,market-solutions,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institutional_solutions__market_solutions/neg_to_pos.npy
ideology,IDEOLOGY,ideology__institutional_solutions__market_solutions,institutional-solutions vs market-solutions,institutional-solutions,market-solutions,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__institutional_solutions__market_solutions/pos_to_neg.npy
ideology,IDEOLOGY,ideology__law_and_order__reform_priority,law-and-order vs reform-priority,law-and-order,reform-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__law_and_order__reform_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__law_and_order__reform_priority,law-and-order vs reform-priority,law-and-order,reform-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__law_and_order__reform_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__law_and_order__reform_priority,law-and-order vs reform-priority,law-and-order,reform-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__law_and_order__reform_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__law_and_order__reform_priority,law-and-order vs reform-priority,law-and-order,reform-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__law_and_order__reform_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__long_term_stability__rapid_innovation,long-term-stability vs rapid-innovation,long-term-stability,rapid-innovation,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__long_term_stability__rapid_innovation/base_to_neg.npy
ideology,IDEOLOGY,ideology__long_term_stability__rapid_innovation,long-term-stability vs rapid-innovation,long-term-stability,rapid-innovation,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__long_term_stability__rapid_innovation/base_to_pos.npy
ideology,IDEOLOGY,ideology__long_term_stability__rapid_innovation,long-term-stability vs rapid-innovation,long-term-stability,rapid-innovation,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__long_term_stability__rapid_innovation/neg_to_pos.npy
ideology,IDEOLOGY,ideology__long_term_stability__rapid_innovation,long-term-stability vs rapid-innovation,long-term-stability,rapid-innovation,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__long_term_stability__rapid_innovation/pos_to_neg.npy
ideology,IDEOLOGY,ideology__national_priority__global_priority,national-priority vs global-priority,national-priority,global-priority,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__national_priority__global_priority/base_to_neg.npy
ideology,IDEOLOGY,ideology__national_priority__global_priority,national-priority vs global-priority,national-priority,global-priority,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__national_priority__global_priority/base_to_pos.npy
ideology,IDEOLOGY,ideology__national_priority__global_priority,national-priority vs global-priority,national-priority,global-priority,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__national_priority__global_priority/neg_to_pos.npy
ideology,IDEOLOGY,ideology__national_priority__global_priority,national-priority vs global-priority,national-priority,global-priority,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__national_priority__global_priority/pos_to_neg.npy
ideology,IDEOLOGY,ideology__policy_gradualism__policy_radicalism,policy-gradualism vs policy-radicalism,policy-gradualism,policy-radicalism,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__policy_gradualism__policy_radicalism/base_to_neg.npy
ideology,IDEOLOGY,ideology__policy_gradualism__policy_radicalism,policy-gradualism vs policy-radicalism,policy-gradualism,policy-radicalism,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__policy_gradualism__policy_radicalism/base_to_pos.npy
